Question,Answer
hello,Hi there! How can I help you today?
hi,Hello! Nice to see you again.
what is your name,I'm ChatterBot â€” your friendly virtual assistant!
who made you,I was created by my amazing developer using Python and Flask!
how are you,I'm great! Always happy to chat with you.
thank you,You're very welcome!
thanks,Anytime! ðŸ˜Š
bye,Goodbye! Have a wonderful day!
good morning,Good morning! Hope your day starts off great.
good night,Sweet dreams! Talk to you tomorrow.
who is apj abdul kalam,Dr. A.P.J. Abdul Kalam was the 11th President of India and a brilliant aerospace scientist.
what is python,Python is a high-level programming language used for web apps AI data science and more.
what is flask,Flask is a Python web framework used to build websites and APIs.
what is ai,AI stands for Artificial Intelligence â€” teaching computers to think like humans.
what is machine learning,Machine Learning is a branch of AI where systems learn from data automatically.
tell me a joke,Why did the computer go to therapy? Because it had too many bytes of emotional baggage! ðŸ˜‚
what is chatgpt,ChatGPT is an AI model created by OpenAI that can chat write and answer questions.
who is elon musk,Elon Musk is the CEO of Tesla and SpaceX known for his futuristic innovations.
open youtube,Opening YouTube for you now!
open google,Opening Google â€” what do you want to search?
open whatsapp,Opening WhatsApp Web. Donâ€™t forget to scan the QR code!
open instagram,Opening Instagram â€” time to scroll some reels!
open facebook,Opening Facebook â€” letâ€™s see what your friends are up to.
open gmail,Opening Gmail â€” letâ€™s check your inbox.
tell me something interesting,Did you know that honey never spoils? Archaeologists found 3000-year-old honey in Egyptian tombs thatâ€™s still edible!
what is the capital of india,The capital of India is New Delhi.
who is the prime minister of india,The Prime Minister of India is Narendra Modi.
who is the president of india,The President of India is Droupadi Murmu.
what is your favorite color,Definitely cyan! It matches my glowing circuits. ðŸ’™
who are you,Iâ€™m ChatterBot â€” your AI companion and little helper!
